# SOURCE: Niva Bupa Health Insurance Company Limited NSEI NIVABUPA Financials.xls
# SHEET: Multiples  (5 of 13)
# DIMS: 86 rows x 8 cols
# ---
							
							
							
							
Niva Bupa Health Insurance Company Limited (NSEI:NIVABUPA) > Financials > Multiples							
							
	View:	Data	 	Frequency:	Quarterly		
	Order:	Latest on Right	 	Decimals:	Capital IQ (Default)		
	Dilution:	Basic	 				
							
							
Multiples Detail
                     In Millions of the reported currency, except per share items.							
							
For Quarter Ending		2025-03-28T00:00:00	2025-06-30T00:00:00	2025-09-30T00:00:00	2025-12-31T00:00:00	2026-03-30T00:00:00	2026-06-03T00:00:00
TEV/LTM Total Revenue	Average	2.765270129032258	2.768564475409836	2.403951296875	2.145557	1.8740629666666666	1.8142406666666666
	High	3.056798	3.102448	2.657626	2.331194	2.233478	1.904938
	Low	2.5012	2.385396	2.247662	2.066541	1.608466	1.700291
	Close	2.752018	2.388602	2.331194	2.119673	1.650437	1.862046
							
TEV/NTM Total Revenues	Average	2.274343	2.131241	2.138779	2.005207	1.890784	1.812426
	High	2.538152	2.37069	2.632634	2.07996	2.087658	1.898077
	Low	2.037548	1.955533	1.854783	1.872538	1.693349	1.717708
	Close	2.24179	2.071507	1.989953	2.007753	1.737564	1.819654
							
TEV/LTM EBITDA	Average	72.79089053225806	70.26354693442623	53.179507828125	59.461675822580645	40.35791113333333	30.244707547619047
	High	83.746799	80.380031	59.388229	64.831908	66.110431	32.650901
	Low	64.222846	44.459056	44.600297	50.828386	27.740034	28.07782
	Close	70.663046	44.518812	56.170026	62.741838	28.463867	29.532307
							
TEV/NTM EBITDA	Average	40.30789	31.050561	-	-	-	-
	High	47.329051	36.571613	-	-	-	-
	Low	33.910672	28.711825	-	-	-	-
	Close	37.309849	29.339844	-	-	-	-
							
TEV/LTM EBIT	Average	74.99783074193549	73.97698621311476	59.118862609375	68.48828	44.974455	32.19102385714286
	High	83.956439	84.335105	66.657127	75.473472	76.961853	34.903243
	Low	67.614306	48.308133	48.461603	57.06462	29.653612	29.592826
	Close	74.394597	48.373063	63.061636	73.040337	30.427377	31.347677
							
TEV/NTM EBIT	Average	40.30789	52.49984	91.881633	170.56822	250.773819	156.686941
	High	47.329051	61.610924	120.804076	210.393064	271.843683	162.790375
	Low	33.910672	35.930132	45.643788	84.107639	174.014946	150.222273
	Close	37.309849	55.080261	101.408912	203.618281	NM	159.137952
							
P/LTM EPS	Average	88.5767019516129	77.46889863934426	100.935660796875	141.34513069354838	81.95523288333334	61.64869738095238
	High	98.58142	99.37153	121.508116	164.354335	167.643109	118.746478
	Low	79.85796	66.7	71.859649	102.402106	43.523355	42.171717
	Close	88.019615	71.72807	113.19001	158.957374	44.67507	42.439393
							
P/NTM EPS	Average	48.542747	64.506031	72.189253	75.018143	77.479668	78.124951
	High	55.471737	78.931912	79.132428	80.138398	84.577356	87.357256
	Low	42.230293	38.653041	58.09279	62.820804	70.075366	64.538448
	Close	46.544638	69.890411	73.748422	77.509714	71.930575	75.22201
							
P/LTM Normalized EPS	Average	141.47500806451612	120.87971195081967	107.55988659375	126.33182964516129	80.42793215	75.41690009523809
	High	157.445976	158.723013	124.743175	139.39201	142.181281	149.714103
	Low	127.554603	84.344517	84.613064	105.128492	51.252271	53.227261
	Close	140.590957	84.458133	116.203617	134.814745	52.608508	53.56511
							
P/BV	Average	4.112758693548387	4.038951213114754	4.6517353125	3.876528080645161	3.8448042166666667	4.121127738095238
	High	4.791993	4.55151	5.049835	4.541522	4.151879	4.434486
	Low	3.411824	3.454689	4.419993	3.568527	3.572183	3.778994
	Close	3.76052	4.537637	4.541522	3.661771	3.66671	4.333409
							
P/Tangible BV	Average	4.1527749193548384	4.054596770491803	4.6958971875	3.9135346451612905	3.8956405	4.179382190476191
	High	4.842818	4.594721	5.097776	4.584637	4.208999	4.499266
	Low	3.440347	3.48357	4.461954	3.611087	3.621327	3.830983
	Close	3.791958	4.580716	4.584637	3.705443	3.717155	4.396713
							
TEV/LTM Unlevered FCF	Average	-	-	-	-	-	NM
	High	-	-	-	-	-	NM
	Low	-	-	-	-	-	NM
	Close	-	-	-	-	-	NM
							
Market Cap/LTM Levered FCF	Average	-	-	-	-	-	NM
	High	-	-	-	-	-	NM
	Low	-	-	-	-	-	NM
	Close	-	-	-	-	-	NM
							
Average multiples are calculated using positive close values on each trading day within the frequency periods selected. Negative values are excluded from the calculation. When the Multiples are not meaningful, due to negative values, then they will not be displayed in the chart.							
							
When a mismatch exists between the currency of the equity listing and the reported financial results such results are translated into the currency of the listing at the exchange rate applicable on the financial period end date.							
							
							
							
Historical Equity Pricing Data supplied by Interactive Data Pricing and Reference Data LLC							
