# SOURCE: NivaBupaHealthInsuranceCompanyLimitedNSEINIVABUPAEstimatesReport.xls
# SHEET: Revisions  (6 of 6)
# DIMS: 403 rows x 5 cols
# ---
				
				
				
				
				
Niva Bupa Health Insurance Company Limited (NSEI:NIVABUPA) > Capital IQ Estimates > Revisions				
				
				
Currency: Reported Currency	Conversion: Today's Spot Rate			
Units: Capital IQ (Default)	Decimals: CapitalIQ (Default)			
Consolidation: Consolidated	Acctg. Standard: Majority Accounting Standard			
				
Current Fiscal Year End: Mar-31-2027 | FQ1 2027 Earnings Release Date: Jul-31-2026				
				
EPS Normalized				
NSEI:NIVABUPA	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	8	7	1	
# of Analysts still in Consensus	7	7	1	
Upward	5	2	1	
Downward	1	2	0	
Last 2 Months				
# of Analysts	8	7	1	
# of Analysts still in Consensus	7	7	1	
Upward	3	2	1	
Downward	2	3	0	
Last 3 Months				
# of Analysts	8	7	1	
# of Analysts still in Consensus	7	7	1	
Upward	3	2	1	
Downward	2	3	0	
BSE:544286	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	8	7	1	
# of Analysts still in Consensus	7	7	1	
Upward	5	2	1	
Downward	1	2	0	
Last 2 Months				
# of Analysts	8	7	1	
# of Analysts still in Consensus	7	7	1	
Upward	3	2	1	
Downward	2	3	0	
Last 3 Months				
# of Analysts	8	7	1	
# of Analysts still in Consensus	7	7	1	
Upward	3	2	1	
Downward	2	3	0	
				
EPS (GAAP)				
NSEI:NIVABUPA	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	5	5	1	
# of Analysts still in Consensus	3	4	1	
Upward	2	0	1	
Downward	0	1	0	
Last 2 Months				
# of Analysts	6	7	1	
# of Analysts still in Consensus	3	4	1	
Upward	1	1	1	
Downward	0	1	0	
Last 3 Months				
# of Analysts	6	7	1	
# of Analysts still in Consensus	3	4	1	
Upward	1	1	1	
Downward	0	1	0	
BSE:544286	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	5	5	1	
# of Analysts still in Consensus	3	4	1	
Upward	2	0	1	
Downward	0	1	0	
Last 2 Months				
# of Analysts	6	7	1	
# of Analysts still in Consensus	3	4	1	
Upward	1	1	1	
Downward	0	1	0	
Last 3 Months				
# of Analysts	6	7	1	
# of Analysts still in Consensus	3	4	1	
Upward	1	1	1	
Downward	0	1	0	
				
Book Value / Share				
NSEI:NIVABUPA	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	6	6	1	
# of Analysts still in Consensus	6	6	1	
Upward	3	4	0	
Downward	2	0	0	
Last 2 Months				
# of Analysts	9	9	1	
# of Analysts still in Consensus	8	8	1	
Upward	3	3	0	
Downward	4	3	0	
Last 3 Months				
# of Analysts	9	9	1	
# of Analysts still in Consensus	8	8	1	
Upward	3	3	0	
Downward	4	3	0	
BSE:544286	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	6	6	1	
# of Analysts still in Consensus	6	6	1	
Upward	3	4	0	
Downward	2	0	0	
Last 2 Months				
# of Analysts	9	9	1	
# of Analysts still in Consensus	8	8	1	
Upward	3	3	0	
Downward	4	3	0	
Last 3 Months				
# of Analysts	9	9	1	
# of Analysts still in Consensus	8	8	1	
Upward	3	3	0	
Downward	4	3	0	
				
Net Asset Value Per Share				
NSEI:NIVABUPA	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	1	1	-	
# of Analysts still in Consensus	1	1	-	
Upward	1	1	-	
Downward	0	0	-	
Last 2 Months				
# of Analysts	1	1	-	
# of Analysts still in Consensus	1	1	-	
Upward	1	1	-	
Downward	0	0	-	
Last 3 Months				
# of Analysts	1	1	-	
# of Analysts still in Consensus	1	1	-	
Upward	1	1	-	
Downward	0	0	-	
BSE:544286	  FY 2027	  FY 2028	  FY 2029	
Last Month				
# of Analysts	1	1	-	
# of Analysts still in Consensus	1	1	-	
Upward	1	1	-	
Downward	0	0	-	
Last 2 Months				
# of Analysts	1	1	-	
# of Analysts still in Consensus	1	1	-	
Upward	1	1	-	
Downward	0	0	-	
Last 3 Months				
# of Analysts	1	1	-	
# of Analysts still in Consensus	1	1	-	
Upward	1	1	-	
Downward	0	0	-	
				
				
Niva Bupa Health Insurance Company Limited (NSEI:NIVABUPA)				
				
Revenue				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	3	3	-	-
# of Analysts still in Consensus	2	2	-	-
Upward	2	2	-	-
Downward	0	0	-	-
Last 2 Months				
