# SOURCE: Tata Motors Limited NSEI TMCV Financials.xls
# SHEET: Ratios  (8 of 12)
# DIMS: 161 rows x 6 cols
# ---
					
					
					
					
Tata Motors Limited (NSEI:TMCV) > Financials > Ratios					
					
	Restatement:	Latest Filings	 	Period Type:	Annual
	Order:	Latest on Right	 	Decimals:	Capital IQ (Default)
	Source:	Capital IQ & Proprietary Data	 		
					
					
Ratios					
For the Fiscal Period Ending
	Press Release
12 months
Mar-31-2025	Press Release
12 months
Mar-31-2026			
Profitability					
  Return on Assets %	NA	0.101099			
  Return on Capital %	NA	0.258329			
  Return on Equity %	NA	0.260454			
  Return on Common Equity %	NA	0.260454			
					
Margin Analysis					
  Gross Margin %	0.336717	0.332399			
  SG&A Margin %	0.071462	0.068299			
  EBITDA Margin %	0.104731	0.117264			
  EBITA Margin %	0.076132	0.094376			
  EBIT Margin %	0.076132	0.094376			
  Earnings from Cont. Ops Margin %	0.054066	0.035655			
  Net Income Margin %	0.054066	0.035655			
  Net Income Avail. for Common Margin %	0.054066	0.035655			
  Normalized Net Income Margin %	0.046588	0.062581			
  Levered Free Cash Flow Margin %	NA	0.220174			
  Unlevered Free Cash Flow Margin %	NA	0.226603			
					
Asset Turnover					
  Total Asset Turnover	NA	1.713977			
  Fixed Asset Turnover	NA	6.808123			
  Accounts Receivable Turnover	NA	28.829732			
  Inventory Turnover	NA	11.264171			
					
Short Term Liquidity					
  Current Ratio	0.933738	0.758389			
  Quick Ratio	0.325931	0.515799			
  Cash from Ops. to Curr. Liab.	0.443924	0.489527			
  Avg. Days Sales Out.	NA	12.66039			
  Avg. Days Inventory Out.	NA	32.403605			
  Avg. Days Payable Out.	NA	79.424			
  Avg. Cash Conversion Cycle	NA	-34.4			
					
Long Term Solvency					
  Total Debt/Equity	0.942276	0.440945			
  Total Debt/Capital	0.48514	0.306011			
  LT Debt/Equity	0.490078	0.152897			
  LT Debt/Capital	0.252321	0.106109			
  Total Liabilities/Total Assets	0.77518	0.756561			
					
  EBIT / Interest Exp.	4.169601	9.176201			
  EBITDA / Interest Exp.	5.735866	11.401601			
  (EBITDA-CAPEX) / Interest Exp.	4.966635	9.89016			
  Total Debt/EBITDA	1.202739	0.563472			
  Net Debt/EBITDA	0.560227	NM			
  Total Debt/(EBITDA-CAPEX)	1.389018	0.649583			
  Net Debt/(EBITDA-CAPEX)	0.646995	NM			
					
  Altman Z Score	NA	NA			
					
Growth Over Prior Year					
  Total Revenue	NA	0.078523			
  Gross Profit	NA	0.064692			
  EBITDA	NA	0.207586			
  EBITA	NA	0.336964			
  EBIT	NA	0.336964			
  Earnings from Cont. Ops.	NA	-0.288733			
  Net Income	NA	-0.288733			
  Normalized Net Income	NA	0.448751			
  Diluted EPS before Extra	NA	-0.288883			
					
  Accounts Receivable	NA	-0.111946			
  Inventory	NA	0.177945			
  Net PP&E	NA	0.012576			
  Total Assets	NA	0.116496			
					
  Tangible Book Value	NA	0.257907			
  Common Equity	NA	0.208962			
  Cash from Ops.	NA	0.314584			
  Capital Expenditures	NA	0.193674			
  Levered Free Cash Flow	NA	NA			
  Unlevered Free Cash Flow	NA	NA			
  Dividend per Share	NA	NA			
					
Compound Annual Growth Rate Over Two Years					
  Total Revenue	NA	NA			
  Gross Profit	NA	NA			
  EBITDA	NA	NA			
  EBITA	NA	NA			
  EBIT	NA	NA			
  Earnings from Cont. Ops.	NA	NA			
  Net Income	NA	NA			
  Normalized Net Income	NA	NA			
  Diluted EPS before Extra	NA	NA			
					
  Accounts Receivable	NA	NA			
  Inventory	NA	NA			
  Net PP&E	NA	NA			
  Total Assets	NA	NA			
					
  Tangible Book Value	NA	NA			
  Common Equity	NA	NA			
  Cash from Ops.	NA	NA			
  Capital Expenditures	NA	NA			
  Levered Free Cash Flow	NA	NA			
  Unlevered Free Cash Flow	NA	NA			
  Dividend per Share	NA	NA			
					
Compound Annual Growth Rate Over Three Years					
  Total Revenue	NA	NA			
  Gross Profit	NA	NA			
  EBITDA	NA	NA			
  EBITA	NA	NA			
  EBIT	NA	NA			
  Earnings from Cont. Ops.	NA	NA			
  Net Income	NA	NA			
  Normalized Net Income	NA	NA			
  Diluted EPS before Extra	NA	NA			
					
  Accounts Receivable	NA	NA			
  Inventory	NA	NA			
  Net PP&E	NA	NA			
  Total Assets	NA	NA			
					
  Tangible Book Value	NA	NA			
  Common Equity	NA	NA			
  Cash from Ops.	NA	NA			
  Capital Expenditures	NA	NA			
  Levered Free Cash Flow	NA	NA			
  Unlevered Free Cash Flow	NA	NA			
  Dividend per Share	NA	NA			
					
Compound Annual Growth Rate Over Five Years					
  Total Revenue	NA	NA			
  Gross Profit	NA	NA			
  EBITDA	NA	NA			
  EBITA	NA	NA			
  EBIT	NA	NA			
  Earnings from Cont. Ops.	NA	NA			
  Net Income	NA	NA			
  Normalized Net Income	NA	NA			
  Diluted EPS before Extra	NA	NA			
					
  Accounts Receivable	NA	NA			
  Inventory	NA	NA			
  Net PP&E	NA	NA			
  Total Assets	NA	NA			
					
  Tangible Book Value	NA	NA			
  Common Equity	NA	NA			
  Cash from Ops.	NA	NA			
  Capital Expenditures	NA	NA			
  Levered Free Cash Flow	NA	NA			
  Unlevered Free Cash Flow	NA	NA			
  Dividend per Share	NA	NA			
					

               
               
               
               
               					
